OBJECTID,UNIQUEID,WORK_TYPE,WORK_SUBTYPE,DISPLAY_AGENCY,NUMBER_KEY,COMP_TYPE,COMP_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,STREET_NO,ADDR_FRACTION,STREET_DIRECTION,STREET_NAME,CITY_ID,X_COORD,Y_COORD,WFDB,URL,LAST_UPDATED,YN_ACTIVITY_REPORT,SE_ANNO_CAD_DATA,NEIGHBORHOOD,
7257312,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSA2300301,CDPSCLN ,Trash/Litter/Tall Grass Cleaning,LITR-PRV,Litter private property,4/16/2023,NEW     ,New,OPEN,3651,    ,  ,READING RD                      ,CINC        ,1404719,425019,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSA2300301,7/23/2023,Y,,,
7247848,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202303108,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,5/16/2023,ORDERS  ,Orders Issued,OPEN,3896,    ,  ,READING RD                      ,CINC        ,1406900,426939,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202303108,7/23/2023,Y,,,
7253197,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSC2302404,CDPSCODE,Trash/Litter/Tall Grass Complaint,LITR-PRV,Litter private property,4/1/2023,REFABAND,Refer to Abandoned Property Program,OPEN,2913,    ,  ,DE BRECK AV                     ,CINC        ,1377278,422166,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSC2302404,7/23/2023,Y,,,
7253220,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202301685,CBHCODE ,Code Enforcement - Buildings with Residences,TREE_S  ,TREE ON PRIV PROP STANDARD,3/4/2023,TRANSFER,TRANSFER,OPEN,3156,    ,  ,MCHENRY AV                      ,CINC        ,1379876,422771,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202301685,7/23/2023,Y,,,
7254194,,CODE ENFORCEMENT,Zoning Enforcement,Cincinnati Buildings and Inspections,B202302565,CBHZONE ,Zoning Code Enforcement - Residential Uses,PARKING ,PARKING IN YARD STNDRD,6/29/2023,INTAKE  ,Intake - New Case,OPEN,1389,    ,  ,GEST ST                         ,CINC        ,1389543,409717,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202302565,7/23/2023,Y,,,
7256759,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202300915,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,1/25/2023,DUPLICAT,Duplicate Case,OPEN,134,    ,  ,GLENRIDGE PL                    ,CINC        ,1400818,426510,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202300915,7/23/2023,Y,,,
7189923,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202303578,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,6/12/2023,CLOSED  ,Closed,OPEN,884,    ,  ,ROCKDALE AV                     ,CINC        ,1405382,422859,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202303578,7/20/2023,Y,,,
7253676,,CODE ENFORCEMENT,Vacated and Condemned Buildings,Cincinnati Buildings and Inspections,B202302777,CBHCODE ,Code Enforcement - Buildings with Residences,VACANT  ,VACANT RES BLDG-BARRC PRIORITY,4/27/2023,INTAKE  ,Intake - New Case,OPEN,1049,    ,  ,ROSEMONT AV                     ,CINC        ,1377375,411760,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202302777,7/23/2023,Y,,,
7253692,,INSPECTION,Building Enforcement,Cincinnati Buildings and Inspections,BF23000217,CBHFACFE,Building Facade and Fire Escape Inspections,FIRE_ESC,FIRE ESCAPE CERTIFICATION,4/27/2023,REPORT  ,REPORT  ,OPEN,320,    ,  ,FOREST AV                       ,CINC        ,1400850,423904,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=BF23000217,7/23/2023,N,,,
1796698,1801210,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL130823,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,FOREVERG,Private Lot Abatement,6/27/2013,BILLED  ,Property Owner Billed for Cleaning,OPEN,1962,    ,  ,BALTIMORE AV                    ,CINC        ,1384258,421050,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL130823,12/2/2013,Y,,North Fairmount,
7257338,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202302324,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,4/16/2023,ORDERS  ,Orders Issued,OPEN,2806,    ,  ,WARSAW AV                       ,CINC        ,1384294,410905,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202302324,7/23/2023,Y,,,
7257361,,CODE ENFORCEMENT,Abandoned Vehicles,Cincinnati Health Dept,JV23000406,CJUNKV-H,Abandoned Vehicle Code Enforcement,CODE J  ,JUNK VEH ON PRIVATE PROP,5/14/2023,CLOS-NO ,Closed - No Violation,OPEN,1230,    ,  ,SLIKER AV                       ,CINC        ,1377477,413109,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=JV23000406,7/23/2023,Y,,,
7172099,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSC2306187,CDPSCODE,Trash/Litter/Tall Grass Complaint,TLGR-PRV,Tall grass/weeds private prop,6/21/2023,CITATION,Citation Issued,OPEN,3418,    ,  ,GLENWAY AV                      ,CINC        ,1382035,412391,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSC2306187,7/20/2023,Y,,,
7172620,,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSA2301107,CDPSCLN ,Trash/Litter/Tall Grass Cleaning,TLGR-PRV,Tall grass/weeds private prop,7/12/2023,NEW     ,New,OPEN,1886,    ,  ,FAIRMOUNT AV                    ,CINC        ,1384630,418420,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=PSA2301107,7/20/2023,Y,,,
7172621,,CODE ENFORCEMENT,Abandoned Vehicles,Cincinnati Health Dept,JV23000600,CJUNKV-H,Abandoned Vehicle Code Enforcement,CODE J  ,JUNK VEH ON PRIVATE PROP,7/12/2023,DUPCOMP ,Duplicate Case,OPEN,5446,    ,  ,CINDY LN                        ,CINC        ,1379238,440595,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=JV23000600,7/20/2023,Y,,,
7172818,,CODE ENFORCEMENT,Zoning Enforcement,Cincinnati Buildings and Inspections,B202300462,CBHZONE ,Zoning Code Enforcement - Residential Uses,PARKING ,PARKING IN YARD STNDRD,2/3/2023,DUPLICAT,Duplicate Case,OPEN,2918,    ,  ,QUEEN CITY AV                   ,CINC        ,1373292,420294,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202300462,7/20/2023,Y,,,
7172820,,CODE ENFORCEMENT,Abandoned Vehicles,Cincinnati Health Dept,JV23000078,CJUNKV-H,Abandoned Vehicle Code Enforcement,CODE J  ,JUNK VEH ON PRIVATE PROP,2/3/2023,ABAT-OWN,Abated by the Owner,OPEN,3208,    ,  ,QUEEN CITY AV                   ,CINC        ,1370746,421456,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=JV23000078,7/20/2023,Y,,,
1416285,1414908,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102223,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/1/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1649,    ,  ,1ST AV                          ,CINC        ,1378713,414304,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102223,2/3/2011,Y,,West Price Hill,
1416286,1414909,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102224,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/1/2010,COST REC,Cleaning Costs Received from Crew,OPEN,3044,    ,  ,GLENWAY AV                      ,CINC        ,1383336,412241,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102224,2/2/2011,Y,,East Price Hill,
1416290,1414913,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102228,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/2/2010,COST REC,Cleaning Costs Received from Crew,OPEN,3300,    ,  ,LEHMAN RD                       ,CINC        ,1382993,412989,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102228,2/3/2011,Y,,East Price Hill,
1416768,1414914,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102229,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/3/2010,COST REC,Cleaning Costs Received from Crew,OPEN,681,    ,  ,GREENWOOD AV                    ,CINC        ,1404179,426131,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102229,2/1/2011,Y,,Avondale,
1416769,1414915,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102230,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/3/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1447,    ,  ,WALNUT ST                       ,CINC        ,1396964,411588,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102230,2/28/2011,Y,,Over-the-Rhine,
1416772,1414918,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102233,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/4/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1568,    ,  ,YARMOUTH AV                     ,CINC        ,1410178,433643,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102233,2/24/2011,Y,,Bond Hill,
1416775,1414921,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102236,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/7/2010,COST REC,Cleaning Costs Received from Crew,OPEN,110,    ,  ,PEETE ST                        ,CINC        ,1397001,413084,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102236,2/9/2011,Y,,Over-the-Rhine,
1416778,1414924,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102239,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/7/2010,COST REC,Cleaning Costs Received from Crew,OPEN,111,    ,  ,PEETE ST                        ,CINC        ,1396937,413042,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102239,2/9/2011,Y,,Over-the-Rhine,
1416779,1414925,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102240,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/7/2010,COST REC,Cleaning Costs Received from Crew,OPEN,121,    ,W ,70TH ST                         ,CINC        ,1406448,441118,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102240,2/24/2011,Y,,Carthage,
1416782,1414928,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102243,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/8/2010,COST REC,Cleaning Costs Received from Crew,OPEN,3318,    ,  ,FAIRFIELD AV                    ,CINC        ,1409287,420613,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102243,2/2/2011,Y,,Evanston,
1416783,1414929,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102244,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,11/8/2010,COST REC,Cleaning Costs Received from Crew,OPEN,3315,    ,  ,HACKBERRY ST                    ,CINC        ,1408590,420629,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102244,2/2/2011,Y,,Evanston,
1418045,1411482,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102170,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/20/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1565,    ,  ,TREMONT AV                      ,CINC        ,1387360,417143,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102170,2/25/2011,Y,,South Fairmount,
1418049,1411486,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102174,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/20/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1029,    ,  ,DANA AV                         ,CINC        ,1406915,424479,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102174,12/15/2010,Y,,Avondale,
1418050,1411487,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102175,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/20/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1926,    ,  ,QUEEN CITY AV                   ,CINC        ,1383239,417177,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102175,1/10/2011,Y,,South Fairmount,
1418051,1411488,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102176,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/20/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1918,    ,  ,QUEEN CITY AV                   ,CINC        ,1383330,417133,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102176,1/10/2011,Y,,South Fairmount,
1417557,1411464,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102152,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/18/2010,COST REC,Cleaning Costs Received from Crew,OPEN,941,    ,  ,WELLS ST                        ,CINC        ,1381278,410607,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102152,1/7/2011,Y,,East Price Hill,
1417559,1411466,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102154,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/18/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1243,    ,  ,MANSS AV                        ,CINC        ,1378882,413136,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102154,1/10/2011,Y,,West Price Hill,
1417560,1411467,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102155,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/18/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1267,    ,  ,MANSS AV                        ,CINC        ,1378925,413430,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102155,1/7/2011,Y,,West Price Hill,
1417568,1411475,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102163,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/19/2010,COST REC,Cleaning Costs Received from Crew,OPEN,836,    ,  ,HUTCHINS AV                     ,CINC        ,1404779,423336,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102163,12/15/2010,Y,,Avondale,
1417569,1411476,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102164,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/19/2010,COST REC,Cleaning Costs Received from Crew,OPEN,834,    ,  ,HUTCHINS AV                     ,CINC        ,1404762,423348,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102164,12/15/2010,Y,,Avondale,
1417570,1411477,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102165,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/19/2010,COST REC,Cleaning Costs Received from Crew,OPEN,848,    ,  ,HUTCHINS AV                     ,CINC        ,1405040,423308,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102165,12/15/2010,Y,,Avondale,
1416578,1411889,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102191,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/24/2010,COST REC,Cleaning Costs Received from Crew,OPEN,1057,    ,  ,WELLS ST                        ,CINC        ,1381300,411944,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102191,1/7/2011,Y,,East Price Hill,
1416580,1411891,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102193,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/24/2010,COST REC,Cleaning Costs Received from Crew,OPEN,2213,    ,  ,ST JAMES AV                     ,CINC        ,1403907,414502,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102193,12/16/2010,Y,,Walnut Hills,
1416581,1411892,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102194,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/25/2010,COST REC,Cleaning Costs Received from Crew,OPEN,3035,    ,  ,HACKBERRY ST                    ,CINC        ,1408385,418763,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102194,12/15/2010,Y,,Evanston,
1417572,1411479,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102167,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/19/2010,COST REC,Cleaning Costs Received from Crew,OPEN,2312,    ,  ,BURNET AV                       ,CINC        ,1400557,415409,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102167,12/16/2010,Y,,Mt. Auburn,
1417573,1411480,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL102168,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,DF LAND ,Private Lot Abatement,10/19/2010,COST REC,Cleaning Costs Received from Crew,OPEN,278,    ,  ,DORCHESTER AV                   ,CINC        ,1399506,413491,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL102168,12/16/2010,Y,,Mt. Auburn,
7247753,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,BAR2300069,CBHBARRI,Code Enforcement - Barricading Buildings,RBARRICD,BARRICADE RESIDENTIAL,3/29/2023,BARRSPEC,Barricade Specifications Given to Contractor,OPEN,755,    ,  ,SEDAM ST                        ,CINC        ,1380362,404406,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=BAR2300069,7/23/2023,Y,,,
7170956,,CODE ENF / INSPECTION,Building Enforcement,Cincinnati Health Dept,CHCE231409,CHENCODE,Health Environmental Code Enforcement,DOG_WSTE,Animal waste in the yard,4/2/2023,PHNCALL ,PHNCALL ,OPEN,3020,    ,N ,HEGRY CIR                       ,CINC        ,1372393,418802,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=CHCE231409,7/20/2023,Y,,,
7171212,,CODE ENFORCEMENT,Abandoned Vehicles,Cincinnati Health Dept,JV23000032,CJUNKV-H,Abandoned Vehicle Code Enforcement,511.31  ,Access to Veh Undr 511.31,1/10/2023,ABAT-OWN,Abated by the Owner,OPEN,6529,    ,  ,DALY RD                         ,CINC        ,1392759,446597,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=JV23000032,7/20/2023,Y,,,
7248145,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Health Dept,CHL2300009,CHLEAD  ,Code Enforcement - Lead Paint,EBL10T14,EBL Range 10-14,3/7/2023,ORDERS  ,Orders Issued,OPEN,624,    ,  ,EAST EPWORTH AV                 ,CINC        ,1397222,433825,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=CHL2300009,7/23/2023,Y,,,
7248156,,CODE ENFORCEMENT,Building Enforcement,Cincinnati Buildings and Inspections,B202302105,CBHCODE ,Code Enforcement - Buildings with Residences,R CODES ,RES CODE STANDARD,3/30/2023,CLOSED  ,Closed,OPEN,310,    ,  ,ROCKDALE AV                     ,CINC        ,1400708,423530,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=B202302105,7/23/2023,Y,,,
1804531,1819007,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL131144,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,FOREVERG,Private Lot Abatement,7/25/2013,BILLED  ,Property Owner Billed for Cleaning,OPEN,1406,    ,  ,APJONES ST                      ,CINC        ,1391683,430868,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL131144,6/9/2014,Y,,Northside,
1804532,1819008,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL131145,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,FOREVERG,Private Lot Abatement,7/28/2013,BILLED  ,Property Owner Billed for Cleaning,OPEN,6023,    ,  ,RED BANK RD                     ,CINC        ,1427517,435623,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL131145,9/22/2014,Y,,Kennedy Heights,
1804651,1813083,CODE ENFORCEMENT,Property Enforcement,Cincinnati Public Services,PSCL130901,CPSCLEAN,Trash/Litter/Tall Grass Cleaning,FOREVERG,Private Lot Abatement,7/4/2013,BILLED  ,Property Owner Billed for Cleaning,OPEN,1811,    ,  ,LOSANTIVILLE AV                 ,CINC        ,1413143,440098,CITY,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=PSCL130901,11/27/2013,Y,,Roselawn,
7245127,,CODE ENFORCEMENT,Zoning Enforcement,Cincinnati Buildings and Inspections,BC20230164,CBHZONEC,Zoning Code Enforcement - Commercial Uses,8HGSV CC,CONCENTRATED CODE,4/16/2023,ORDERS  ,Orders Issued,OPEN,3021,    ,  ,MADISON RD                      ,CINC        ,1420380,425043,CITY,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=BC20230164,7/23/2023,Y,,,
